source,interface_api,date_searched,exact_search_string,result_count,downloaded_count,notes
PubMed,NCBI E-utilities,2026-06-18,"(Medicaid OR CHIP) AND (postpartum OR ""post-partum"" OR pregnancy) AND (coverage OR eligibility OR extension OR ""continuous coverage"" OR churn OR redetermination) AND (""access to care"" OR ""continuity of care"" OR morbidity OR mortality OR ""behavioral health"" OR equity OR disparities)",452,452,Date range limited to 2014-2026; retmax 500.
OpenAlex,OpenAlex Works API,2026-06-18,"(Medicaid OR CHIP) AND (postpartum OR ""post-partum"" OR pregnancy) AND (coverage OR eligibility OR extension OR ""continuous coverage"" OR churn OR redetermination) AND (""access to care"" OR ""continuity of care"" OR morbidity OR mortality OR ""behavioral health"" OR equity OR disparities)",17713,200,Date range limited to 2014-2026; first 200 records downloaded.
